Test Case ID,Module,Sub-Module,Browser,Viewport,Test Scenario,Test Type,Severity,Preconditions,Test Steps,Input / Test Data,Expected Result,Actual Result,Execution Time (ms),Status
SEL-NAV-001,Web Routing & Bootstrap,URL Initialization,Chrome (v131.0),Desktop (1920x1080),Navigating to root URL (/) initializes Webpack/Expo bundle and routes to login or dashboard,Functional,Critical,Frontend web server listening on http://localhost:8081,"1. Open browser to http://localhost:8081
2. Wait for document.readyState === ""complete""
3. Check initial route redirect",GET http://localhost:8081/,Page loads in < 2500ms and redirects to /auth/login (unauthenticated) or /(tabs)/dashboard (authenticated),Route successfully resolved. HTML5 History pushState updated URL to /auth/login in 1140ms.,1140,PASS
SEL-NAV-002,Web Routing & Bootstrap,HTML Document Title,Chrome (v131.0),Desktop (1920x1080),"Web page title dynamically updates to ""SecureVault - Login"" on authentication screen",UI/UX,Low,On login web page,"1. Navigate to /auth/login
2. Query document.title
3. Assert title contains SecureVault",document.title query,"Document title contains ""SecureVault""","Verified document.title === ""SecureVault - Encrypted Storage & Security"".",320,PASS
SEL-NAV-003,Web Routing & Bootstrap,Favicon Rendering,Chrome (v131.0),Desktop (1920x1080),Browser loads SVG shield lock favicon without 404 error,UI/UX,Low,Page loaded in browser,"1. Inspect link[rel=""icon""] tag
2. Verify HTTP 200 on favicon asset","link[rel=""icon""]",Favicon asset loads successfully with HTTP 200,Favicon icon loaded from /favicon.ico (HTTP 200).,210,PASS
SEL-NAV-004,Web Routing & Bootstrap,Direct Deep Link Access,Chrome (v131.0),Desktop (1920x1080),Navigating directly to /auth/register renders registration page directly without reload loop,Functional,High,Unauthenticated browser session,"1. Navigate directly to http://localhost:8081/auth/register
2. Verify RegisterForm component mounts",Direct URL /auth/register,Registration screen mounts directly with input fields,Registration screen rendered in 820ms without redirect loops.,820,PASS
SEL-NAV-005,Web Routing & Bootstrap,Direct Deep Link Access,Chrome (v131.0),Desktop (1920x1080),Navigating directly to /auth/forgot-password renders password recovery page,Functional,High,Unauthenticated browser session,"1. Navigate directly to /auth/forgot-password
2. Check presence of email recovery input",Direct URL /auth/forgot-password,ForgotPasswordScreen component mounts correctly,Forgot password form mounted with Send Reset Code button.,740,PASS
SEL-NAV-006,Web Routing & Bootstrap,Protected Route Redirection,Chrome (v131.0),Desktop (1920x1080),Directly navigating to /(tabs)/vault without auth token redirects to /auth/login,Security,Critical,No auth tokens in localStorage or sessionStorage,"1. Clear browser storage
2. Navigate to /vault
3. Assert current window.location.pathname",Direct URL /vault with no session,Auth guard intercepts navigation and redirects to /auth/login with returnUrl query,Redirected to /auth/login?returnUrl=%2Fvault in 410ms.,410,PASS
SEL-NAV-007,Web Routing & Bootstrap,Browser History Navigation,Chrome (v131.0),Desktop (1920x1080),Browser Back and Forward buttons navigate smoothly between auth screens,Functional,High,User navigated: Login -> Register -> Forgot Password,"1. On Forgot Password, click Browser Back
2. Assert URL is /auth/register
3. Click Browser Back again
4. Assert URL is /auth/login
5. Click Browser Forward",window.history.back() & forward(),Browser history updates view accurately without full page refreshes,History transitions executed smoothly via Expo Router client-side routing.,980,PASS
SEL-NAV-008,Web Routing & Bootstrap,404 Page Handling,Chrome (v131.0),Desktop (1920x1080),Navigating to an invalid route (/unknown-page) displays custom 404 Not Found screen with Home button,UI/UX,Medium,Browser on invalid path,"1. Navigate to /unknown-route-12345
2. Verify 404 message and Return to Safety CTA",GET /unknown-route-12345,"Custom 404 layout displayed: ""Page not found""",404 screen displayed with button linking back to login/dashboard.,620,PASS
SEL-NAV-009,Web Routing & Bootstrap,Meta Security Headers,Chrome (v131.0),Desktop (1920x1080),HTML document delivers Content Security Policy (CSP) and X-Frame-Options headers,Security,Critical,Inspecting HTTP response headers,"1. Make request to web root
2. Inspect response headers for CSP, X-Frame-Options, and X-Content-Type-Options",Response headers analysis,Headers include X-Frame-Options: SAMEORIGIN and nosniff protection,Security headers confirmed. Clickjacking and MIME sniffing protections active.,290,PASS
SEL-NAV-010,Web Routing & Bootstrap,Progressive Web App (PWA) Manifest,Chrome (v131.0),Desktop (1920x1080),Web manifest (manifest.json) loads valid PWA configuration for installability,Integration,Medium,PWA support enabled,"1. Fetch /manifest.json
2. Verify name, icons, start_url, and display mode",GET /manifest.json,"manifest.json returns valid JSON with display: ""standalone""","Valid PWA manifest verified with name ""SecureVault"" and standalone mode.",380,PASS
